date,AOI_average,image_paths
2024-11-11,0.16332451053652672,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2024-11-19_20250304140809784099.png
2024-11-11,0.16380886516469342,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2024-12-19_20250304140809761410.png
2024-11-19,0.18405764756229992,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2024-11-11_20250304140810379158.png
2024-11-19,0.18408693935946926,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2024-12-31_20250304140810492004.png
2024-11-26,0.21206706001969666,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2024-11-26_20250304140810518579.png
2024-11-26,0.21284123429208263,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2024-11-11_20250304140810500843.png
2024-12-19,0.5606276691774374,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2024-12-31_20250304140809771246.png
2024-12-19,0.5599069912363056,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2024-11-26_20250304140810091749.png
2024-12-31,0.8477692620375523,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2024-11-19_20250304140811075821.png
2024-12-31,0.8467668787894254,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2025-01-08_20250304140812621592.png
2025-01-08,0.9006804421481132,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2024-12-19_20250304140815607130.png
2025-01-08,0.900474433239946,C:/Users/pc/AppData/Local/Temp/sentinel2_rgb_2025-01-08_20250304140814401851.png
